level,name,mean_abs_error,mean_rel_error,max_abs_error,pct_needs_update,mean_priority
protein,4EBP1_pS65,0.029117,0.038242,0.176305,20.88,0.041876
protein,ACC_pS79,0.018438,0.100161,0.139665,10.54,0.11061
protein,AKT_pS473,0.241631,3472352805.364572,3.870884,48.83,3478168655.633126
protein,AKT_pT308,0.291855,0.335714,3.991851,50.97,0.34923
protein,AMPK_pT172,0.076669,0.046539,0.839705,38.34,0.05179
protein,BAD_pS112,0.031415,0.048,0.240659,21.59,0.05214
protein,c-JUN_pS73,0.017739,0.044911,0.094663,11.43,0.04905
protein,c-Met_pY1235,0.015579,0.033021,0.099548,6.44,0.036589
protein,c-Raf_pS338,0.04315,0.090949,0.495125,31.47,0.098405
protein,CHK1_pS345,0.007606,0.031145,0.063196,0.34,0.035111
protein,CHK2_pT68,0.009169,0.043901,0.055108,0.69,0.048805
protein,EGFR_pY1068,0.008427,0.08407,0.099143,1.89,0.092953
protein,EGFR_pY1173,0.011315,0.026662,0.071594,2.15,0.029782
protein,EGFR_pY992,0.00644,0.055419,0.048149,0.0,0.061918
protein,ER-alpha_pS118,0.045773,0.053461,0.331888,31.73,0.05874
protein,FOXO3a_pS318_S321,0.019754,0.041206,0.156746,11.77,0.045296
protein,GSK3-alpha-beta_pS21_S9,0.075356,0.051677,0.554548,38.66,0.055314
protein,GSK3-alpha-beta_pS9,0.075978,0.048056,0.492123,36.97,0.051229
protein,HER2_pY1248,0.049962,0.032994,0.338813,31.13,0.036672
protein,JNK_pT183_pT185,0.013232,0.059494,0.116121,3.92,0.065993
protein,MAPK_pT202_Y204,0.048918,0.267405,0.454995,28.87,0.287349
protein,MEK1_pS217_S221,0.045202,191491771.579945,0.560817,23.31,191491771.591141
protein,mTOR_pS2448,0.040795,0.07541,0.2491,29.7,0.081473
protein,NF-kB-p65_pS536,0.020561,0.041613,0.245132,9.45,0.047325
protein,p27_pT157,0.023749,0.038961,0.168311,17.44,0.04292
protein,p27_pT198,0.014814,0.033785,0.103086,5.9,0.03761
protein,p38_pT180_Y182,0.009923,0.049735,0.122514,1.83,0.055992
protein,p70S6K_pT389,0.403308,0.145933,3.257818,55.15,0.151325
protein,p90RSK_pT359_S363,0.028523,0.039339,0.277813,17.7,0.043333
protein,PDK1_pS241,0.028767,0.02682,0.186847,20.25,0.029574
protein,PKC-alpha_pS657,0.01019,0.048488,0.076978,1.15,0.053631
protein,PRAS40_pT246,0.105243,0.06382,0.743606,39.52,0.06743
protein,Rb_pS807_S811,0.112517,0.050666,0.717078,44.33,0.054255
protein,S6_pS235_S236,0.384534,0.137009,3.287949,53.87,0.140981
protein,S6_pS240_S244,0.113192,0.088249,0.889178,41.07,0.094302
protein,Src_pY416,0.00554,0.063117,0.033797,0.0,0.071049
protein,Src_pY527,0.063655,0.052739,0.714316,35.68,0.057565
protein,STAT3_pY705,0.006644,0.034085,0.046027,0.0,0.037862
protein,TAZ_pS89,0.047765,0.07792,0.367165,29.55,0.086292
protein,YAP_pS127,0.023939,0.065853,0.155792,13.83,0.073721
protein,YB-1_PS102,0.02771,0.043047,0.192942,20.76,0.047148
condition,None|None,0.053169,0.078924,1.495225,21.22,0.083997
condition,None|PD173074,0.062795,0.111613,1.773286,22.91,0.118419
condition,None|GSK690693_GSK1120212,0.066834,0.086855,1.532837,25.67,0.095053
condition,None|GSK690693,0.069596,0.066207,2.216022,23.16,0.072603
condition,Serum|None,0.050076,0.10975,1.743592,18.33,0.114149
condition,Serum|PD173074,0.077513,2009274194.310942,1.852279,28.89,2009274194.319836
condition,Serum|GSK690693_GSK1120212,0.061499,0.082188,1.861368,19.81,0.087895
condition,Serum|GSK690693,0.08954,0.126279,2.724578,28.34,0.135724
condition,PBS|None,0.04379,10213201.037129,1.924059,11.29,15319801.259969
condition,PBS|PD173074,0.032035,393270771.925663,1.611842,11.57,393270771.93107
condition,PBS|GSK690693_GSK1120212,0.040487,0.071339,1.708729,14.38,0.075583
condition,PBS|GSK690693,0.056501,0.074282,2.441655,17.3,0.078856
condition,NRG1|None,0.075048,0.077692,1.490875,26.6,0.0837
condition,NRG1|PD173074,0.066296,0.079681,1.458542,29.8,0.086732
condition,NRG1|GSK690693_GSK1120212,0.115293,0.098471,2.194308,29.39,0.111049
condition,NRG1|GSK690693,0.167298,0.107191,3.991851,30.95,0.11731
condition,Insulin|None,0.045589,0.082259,1.697567,20.49,0.087077
condition,Insulin|PD173074,0.07399,0.169564,1.676293,29.49,0.178716
condition,Insulin|GSK690693_GSK1120212,0.052012,0.09614,1.536007,18.05,0.101326
condition,Insulin|GSK690693,0.06002,0.064542,2.32284,23.38,0.070803
condition,IGF1|None,0.034498,0.041095,1.363302,13.48,0.044252
condition,IGF1|PD173074,0.04388,0.06,0.871297,21.6,0.065187
condition,IGF1|GSK690693_GSK1120212,0.056238,0.074668,1.313994,20.64,0.082122
condition,IGF1|GSK690693,0.08901,168139116.464573,1.824352,24.82,168139116.470894
condition,HGF|None,0.084161,0.074918,3.287949,23.61,0.081294
condition,HGF|PD173074,0.089575,0.085566,3.158488,27.76,0.092341
condition,HGF|GSK690693_GSK1120212,0.071093,0.076248,2.130478,20.47,0.081117
condition,HGF|GSK690693,0.086258,0.088484,2.379934,28.19,0.096566
condition,FGF1|None,0.07373,636136978.572904,2.536968,21.05,636136978.576947
condition,FGF1|PD173074,0.034781,0.110271,1.33627,14.84,0.114071
condition,FGF1|GSK690693_GSK1120212,0.06774,0.080177,1.414978,27.36,0.08787
condition,FGF1|GSK690693,0.082791,0.08741,1.657925,32.51,0.094687
condition,EGF|None,0.028763,0.054956,1.255241,8.45,0.058368
condition,EGF|PD173074,0.032202,0.214242,1.473137,9.98,0.217829
condition,EGF|GSK690693_GSK1120212,0.03071,0.044262,1.350186,9.66,0.048094
condition,EGF|GSK690693,0.065615,0.075681,2.039253,25.22,0.082121
time_phase,early,0.130641,270018787.488056,3.340793,44.15,270018787.488056
time_phase,mid,0.05695,0.056634,3.991851,20.65,0.06796
time_phase,late,0.008372,833906.11073,1.799743,0.91,1250859.166095
